No.;Program Studi;Sem.;Link 1;Link 2;Link 3;Link 4
1;D-III AKUNTANSI;III;bit.ly/soal-d3akt-sem3;gg.gg/soal-d3akt-sem3;tinyurl.com/soal-d3akun-sem3;s.id/soal-d3akun-sem3
2;D-III AKUNTANSI;V;bit.ly/soal-d3akt-sem5;gg.gg/soal-d3akt-sem5;tinyurl.com/soal-d3akt-sem5;s.id/soal-d3akt-sem5
3;D-III AKUNTANSI ALIH PROGRAM;III;bit.ly/soal-d3aktap-sem3;gg.gg/soal-d3aktap-sem3;tinyurl.com/soal-d3aktap-sem3;s.id/soal-d3aktap-sem3
4;D-III AKUNTANSI ALIH PROGRAM;V;bit.ly/soal-d3aktap-sem5;gg.gg/soal-d3aktap-sem5;tinyurl.com/soal-d3aktap-sem5;s.id/soal-d3aktap-sem5
5;D-IV AKUNTANSI (REG);VII;bit.ly/soal-d4akt-sem7;gg.gg/soal-d4akt-sem7;tinyurl.com/soal-d4akt-sem7;s.id/soal-d4akt-sem7
6;D-IV AKUNTANSI ALIH PROGRAM (NON AKT);VII;bit.ly/soal-d4aktapnon-sem7;gg.gg/soal-d4aktapnon-sem7;tinyurl.com/soal-d4aktapnon-sem7;s.id/soal-d4aktapnon-sem7
7;D-IV AKUNTANSI ALIH PROGRAM (NON AKT);IX;bit.ly/soal-d4aktapnon-sem9;gg.gg/soal-d4aktapnon-sem9;tinyurl.com/soal-d4aktapnon-sem9;s.id/soal-d4aktapnon-sem9
8;D-III PAJAK;I;bit.ly/soal-d3pjk-sem1;gg.gg/soal-d3pjk-sem1;tinyurl.com/soal-d3pjk-sem1;s.id/soal-d3pjk-sem1
9;D-III PAJAK;III;bit.ly/soal-d3pjk-sem3;gg.gg/soal-d3pjk-sem3;tinyurl.com/soal-d3pjk-sem3;s.id/soal-d3pjk-sem3
10;D-III PAJAK;V;bit.ly/soal-d3pjk-sem5;gg.gg/soal-d3pjk-sem5;tinyurl.com/soal-d3pjk-sem5;s.id/soal-d3pjk-sem5
11;D-III PAJAK ALIH PROGRAM;III;bit.ly/soal-d3pjkap-sem3;gg.gg/soal-d3pjkap-sem3;tinyurl.com/soal-d3pjkap-sem3;s.id/soal-d3pjkap-sem3
12;D-III PAJAK ALIH PROGRAM;V;bit.ly/soal-d3pjkap-sem5;gg.gg/soal-d3pjkap-sem5;tinyurl.com/soal-d3pjkap-sem5;s.id/soal-d3pjkap-sem5
13;D-III PBB/PENILAI;III;bit.ly/soal-d3pbb-sem3;gg.gg/soal-d3pbb-sem3;tinyurl.com/soal-d3pbb-sem3;s.id/soal-d3pbb-sem3
14;D-III PBB/PENILAI;V;bit.ly/soal-d3pbb-sem5;gg.gg/soal-d3pbb-sem5;tinyurl.com/soal-d3pbb-sem5;s.id/soal-d3pbb-sem5
15;D-III PBB/PENILAI ALIH PROGRAM;IV;bit.ly/soal_d3pbbap-sem4;gg.gg/soal_d3pbbap-sem4;tinyurl.com/soal-d3pbbap-semester4;s.id/soal-d3pbbap-semester4
16;D-III PBB/PENILAI ALIH PROGRAM;V;bit.ly/soal-d3pbbap-semester5;gg.gg/soal-d3pbbap-semester5;tinyurl.com/soal-d3pbbap-semester5;s.id/soal-d3pbbap-semester5
17;D-III PBB/PENILAI ALIH PROGRAM;VI;bit.ly/soal-d3pbbap-sem6;gg.gg/soal-d3pbbap-sem6;tinyurl.com/soal-d3pbbap-sem6;s.id/soal-d3pbbap-sem6
18;D-III KEPABEANAN DAN CUKAI;III;bit.ly/soal-d3bc-sem3;gg.gg/soal-d3bc-sem3;tinyurl.com/soal-d3bc-sem3;s.id/soal-d3bc-sem3
19;D-III KEPABEANAN DAN CUKAI;V;bit.ly/soal-d3bc-sem5;gg.gg/soal-d3bc-sem5;tinyurl.com/soal-d3bc-sem5;s.id/soal-d3bc-sem5
20;D-III KEPABEANAN DAN CUKAI ALIH PROGRAM;V;bit.ly/soal-d3bcap-sem5;gg.gg/soal-d3bcap-sem5;tinyurl.com/soal-d3bcap-sem5;s.id/soal-d3bcap-sem5
21;D-III KEBENDAHARAAN NEGARA;III;bit.ly/soal-d3kbn-sem3;gg.gg/soal-d3kbn-sem3;tinyurl.com/soal-d3kbn-sem3;s.id/soal-d3kbn-sem3
22;D-III KEBENDAHARAAN NEGARA;V;bit.ly/soal-d3kbn-sem5;gg.gg/soal-d3kbn-sem5;tinyurl.com/soal-d3kbn-sem5;s.id/soal-d3kbn-sem5
23;D-III KEBENDAHARAAN NEGARA ALIH PROGRAM;V;bit.ly/soal-d3kbnap-sem5;gg.gg/soal-d3kbnap-sem5;tinyurl.com/soal-d3kbnap-sem5;s.id/soal-d3kbnap-sem5
24;D-III MANAJEMEN ASET;III;bit.ly/soal-d3ma-sem3;gg.gg/soal-d3ma-sem3;tinyurl.com/soal-d3ma-sem3;s.id/soal-d3ma-sem3
25;D-III MANAJEMEN ASET;V;bit.ly/soal-d3ma-sem5;gg.gg/soal-d3ma-sem5;tinyurl.com/soal-d3ma-sem5;s.id/soal-d3ma-sem5
